id,event_indicator,event_type,event_severity
12848,1,Market Activity,Medium
12844,1,Market Activity,Medium
12846,1,Market Activity,Medium
12845,1,Market Activity,Medium
12847,1,Market Activity,Medium
12885,1,Market Activity,Medium
12867,1,Market Activity,Medium
12866,1,Market Activity,Medium
12865,1,Market Activity,Medium
12875,1,Market Activity,Medium
12879,1,Market Activity,Medium
12874,1,Market Activity,Medium
12876,1,Market Activity,Medium
12877,1,Market Activity,Medium
12878,1,Market Activity,Medium
12884,1,Market Activity,Medium
12851,1,Market Activity,Medium
12854,1,Market Activity,Medium
12850,1,Market Activity,Medium
12849,1,Market Activity,Medium
12853,1,Market Activity,Medium
12852,1,Market Activity,Medium
12855,1,Market Activity,Medium
12835,1,Market Activity,Medium
12837,1,Market Activity,Medium
12834,1,Market Activity,Medium
12838,1,Market Activity,Medium
12836,1,Market Activity,Medium
12833,1,Market Activity,Medium
12839,1,Market Activity,Medium
12842,1,Market Activity,Medium
12841,1,Market Activity,Medium
12840,1,Market Activity,Medium
12843,1,Market Activity,Medium
12888,1,Market Activity,Medium
12882,1,Market Activity,Medium
12861,1,Market Activity,Medium
12864,1,Market Activity,Medium
12887,1,Market Activity,Medium
12863,1,Market Activity,Medium
12862,1,Market Activity,Medium
12881,1,Market Activity,Medium
12883,1,Market Activity,Medium
12880,1,Market Activity,Medium
12858,1,Market Activity,Medium
12860,1,Market Activity,Medium
12886,1,Market Activity,Medium
12857,1,Market Activity,Medium
12856,1,Market Activity,Medium
12859,1,Market Activity,Medium
12890,1,Market Activity,Medium
12889,1,Market Activity,Medium
12869,1,Market Activity,Medium
12868,1,Market Activity,Medium
12827,1,Market Activity,Medium
12830,1,Market Activity,Medium
12828,1,Market Activity,Medium
12831,1,Market Activity,Medium
12829,1,Market Activity,Medium
12832,1,Market Activity,Medium
12826,1,Market Activity,Medium
12870,1,Market Activity,Medium
12873,1,Market Activity,Medium
12871,1,Market Activity,Medium
12872,1,Market Activity,Medium
12784,1,Market Activity,Medium
12780,1,Market Activity,Medium
12782,1,Market Activity,Medium
12781,1,Market Activity,Medium
12783,1,Market Activity,Medium
12820,1,Market Activity,Medium
12802,1,Market Activity,Medium
12801,1,Market Activity,Medium
12800,1,Market Activity,Medium
12810,1,Market Activity,Medium
12814,1,Market Activity,Medium
12809,1,Market Activity,Medium
12811,1,Market Activity,Medium
12812,1,Market Activity,Medium
12813,1,Market Activity,Medium
12819,1,Market Activity,Medium
12787,1,Market Activity,Medium
12790,1,Market Activity,Medium
12786,1,Market Activity,Medium
12785,1,Market Activity,Medium
12789,1,Market Activity,Medium
12788,1,Market Activity,Medium
12791,1,Market Activity,Medium
12771,1,Market Activity,Medium
12773,1,Market Activity,Medium
12770,1,Market Activity,Medium
12774,1,Market Activity,Medium
12772,1,Market Activity,Medium
12769,1,Market Activity,Medium
12775,1,Market Activity,Medium
12778,1,Market Activity,Medium
12777,1,Market Activity,Medium
12776,1,Market Activity,Medium
12779,1,Market Activity,Medium
12823,1,Market Activity,Medium
12817,1,Market Activity,Medium
12799,1,Market Activity,Medium
12822,1,Market Activity,Medium
12798,1,Market Activity,Medium
12797,1,Market Activity,Medium
12816,1,Market Activity,Medium
12818,1,Market Activity,Medium
12815,1,Market Activity,Medium
12794,1,Market Activity,Medium
12796,1,Market Activity,Medium
12821,1,Market Activity,Medium
12793,1,Market Activity,Medium
12792,1,Market Activity,Medium
12795,1,Market Activity,Medium
12825,1,Market Activity,Medium
12824,1,Market Activity,Medium
12804,1,Market Activity,Medium
12803,1,Market Activity,Medium
12763,1,Market Activity,Medium
12766,1,Market Activity,Medium
12764,1,Market Activity,Medium
12767,1,Market Activity,Medium
12765,1,Market Activity,Medium
12768,1,Market Activity,Medium
12762,1,Market Activity,Medium
12805,1,Market Activity,Medium
12808,1,Market Activity,Medium
12806,1,Market Activity,Medium
12807,1,Market Activity,Medium
998,1,Market Activity,Medium
994,1,Market Activity,Medium
996,1,Market Activity,Medium
995,1,Market Activity,Medium
997,1,Market Activity,Medium
1035,1,Market Activity,Medium
1017,1,Market Activity,Medium
1016,1,Market Activity,Medium
1015,1,Market Activity,Medium
1025,1,Market Activity,Medium
1029,1,Market Activity,Medium
1024,1,Market Activity,Medium
1026,1,Market Activity,Medium
1027,1,Market Activity,Medium
1028,1,Market Activity,Medium
1034,1,Market Activity,Medium
1001,1,Market Activity,Medium
1004,1,Market Activity,Medium
1000,1,Market Activity,Medium
999,1,Market Activity,Medium
1003,1,Market Activity,Medium
1002,1,Market Activity,Medium
1005,1,Market Activity,Medium
985,1,Market Activity,Medium
987,1,Market Activity,Medium
984,1,Market Activity,Medium
988,1,Market Activity,Medium
986,1,Market Activity,Medium
983,1,Market Activity,Medium
989,1,Market Activity,Medium
992,1,Market Activity,Medium
991,1,Market Activity,Medium
990,1,Market Activity,Medium
993,1,Market Activity,Medium
1038,1,Market Activity,Medium
1032,1,Market Activity,Medium
1011,1,Market Activity,Medium
1014,1,Market Activity,Medium
1037,1,Market Activity,Medium
1013,1,Market Activity,Medium
1012,1,Market Activity,Medium
1031,1,Market Activity,Medium
1033,1,Market Activity,Medium
1030,1,Market Activity,Medium
1008,1,Market Activity,Medium
1010,1,Market Activity,Medium
1036,1,Market Activity,Medium
1007,1,Market Activity,Medium
1006,1,Market Activity,Medium
1009,1,Market Activity,Medium
1040,1,Market Activity,Medium
1039,1,Market Activity,Medium
1019,1,Market Activity,Medium
1018,1,Market Activity,Medium
977,1,Market Activity,Medium
980,1,Market Activity,Medium
978,1,Market Activity,Medium
981,1,Market Activity,Medium
979,1,Market Activity,Medium
982,1,Market Activity,Medium
976,1,Market Activity,Medium
1020,1,Market Activity,Medium
1023,1,Market Activity,Medium
1021,1,Market Activity,Medium
1022,1,Market Activity,Medium
933,1,Market Activity,Medium
929,1,Market Activity,Medium
931,1,Market Activity,Medium
930,1,Market Activity,Medium
932,1,Market Activity,Medium
970,1,Market Activity,Medium
952,1,Market Activity,Medium
951,1,Market Activity,Medium
950,1,Market Activity,Medium
960,1,Market Activity,Medium
964,1,Market Activity,Medium
959,1,Market Activity,Medium
961,1,Market Activity,Medium
962,1,Market Activity,Medium
963,1,Market Activity,Medium
969,1,Market Activity,Medium
936,1,Market Activity,Medium
939,1,Market Activity,Medium
935,1,Market Activity,Medium
934,1,Market Activity,Medium
938,1,Market Activity,Medium
937,1,Market Activity,Medium
940,1,Market Activity,Medium
920,1,Market Activity,Medium
922,1,Market Activity,Medium
919,1,Market Activity,Medium
923,1,Market Activity,Medium
921,1,Market Activity,Medium
918,1,Market Activity,Medium
924,1,Market Activity,Medium
927,1,Market Activity,Medium
926,1,Market Activity,Medium
925,1,Market Activity,Medium
928,1,Market Activity,Medium
973,1,Market Activity,Medium
967,1,Market Activity,Medium
946,1,Market Activity,Medium
949,1,Market Activity,Medium
972,1,Market Activity,Medium
948,1,Market Activity,Medium
947,1,Market Activity,Medium
966,1,Market Activity,Medium
968,1,Market Activity,Medium
965,1,Market Activity,Medium
943,1,Market Activity,Medium
945,1,Market Activity,Medium
971,1,Market Activity,Medium
942,1,Market Activity,Medium
941,1,Market Activity,Medium
944,1,Market Activity,Medium
975,1,Market Activity,Medium
974,1,Market Activity,Medium
954,1,Market Activity,Medium
953,1,Market Activity,Medium
912,1,Market Activity,Medium
915,1,Market Activity,Medium
913,1,Market Activity,Medium
916,1,Market Activity,Medium
914,1,Market Activity,Medium
917,1,Market Activity,Medium
911,1,Market Activity,Medium
955,1,Market Activity,Medium
958,1,Market Activity,Medium
956,1,Market Activity,Medium
957,1,Market Activity,Medium
868,1,Market Activity,Medium
864,1,Market Activity,Medium
866,1,Market Activity,Medium
865,1,Market Activity,Medium
867,1,Market Activity,Medium
905,1,Market Activity,Medium
887,1,Market Activity,Medium
886,1,Market Activity,Medium
885,1,Market Activity,Medium
895,1,Market Activity,Medium
899,1,Market Activity,Medium
894,1,Market Activity,Medium
896,1,Market Activity,Medium
897,1,Market Activity,Medium
898,1,Market Activity,Medium
904,1,Market Activity,Medium
871,1,Market Activity,Medium
874,1,Market Activity,Medium
870,1,Market Activity,Medium
869,1,Market Activity,Medium
873,1,Market Activity,Medium
872,1,Market Activity,Medium
875,1,Market Activity,Medium
855,1,Market Activity,Medium
857,1,Market Activity,Medium
854,1,Market Activity,Medium
858,1,Market Activity,Medium
856,1,Market Activity,Medium
853,1,Market Activity,Medium
859,1,Market Activity,Medium
862,1,Market Activity,Medium
861,1,Market Activity,Medium
860,1,Market Activity,Medium
863,1,Market Activity,Medium
908,1,Market Activity,Medium
902,1,Market Activity,Medium
881,1,Market Activity,Medium
884,1,Market Activity,Medium
907,1,Market Activity,Medium
883,1,Market Activity,Medium
882,1,Market Activity,Medium
901,1,Market Activity,Medium
903,1,Market Activity,Medium
900,1,Market Activity,Medium
878,1,Market Activity,Medium
880,1,Market Activity,Medium
906,1,Market Activity,Medium
877,1,Market Activity,Medium
876,1,Market Activity,Medium
879,1,Market Activity,Medium
910,1,Market Activity,Medium
909,1,Market Activity,Medium
889,1,Market Activity,Medium
888,1,Market Activity,Medium
847,1,Market Activity,Medium
850,1,Market Activity,Medium
848,1,Market Activity,Medium
851,1,Market Activity,Medium
849,1,Market Activity,Medium
852,1,Market Activity,Medium
846,1,Market Activity,Medium
890,1,Market Activity,Medium
893,1,Market Activity,Medium
891,1,Market Activity,Medium
892,1,Market Activity,Medium
803,1,Market Activity,Medium
799,1,Market Activity,Medium
801,1,Market Activity,Medium
800,1,Market Activity,Medium
802,1,Market Activity,Medium
840,1,Market Activity,Medium
822,1,Market Activity,Medium
821,1,Market Activity,Medium
820,1,Market Activity,Medium
830,1,Market Activity,Medium
834,1,Market Activity,Medium
829,1,Market Activity,Medium
831,1,Market Activity,Medium
832,1,Market Activity,Medium
833,1,Market Activity,Medium
839,1,Market Activity,Medium
806,1,Market Activity,Medium
809,1,Market Activity,Medium
805,1,Market Activity,Medium
804,1,Market Activity,Medium
808,1,Market Activity,Medium
807,1,Market Activity,Medium
810,1,Market Activity,Medium
790,1,Market Activity,Medium
792,1,Market Activity,Medium
789,1,Market Activity,Medium
793,1,Market Activity,Medium
791,1,Market Activity,Medium
788,1,Market Activity,Medium
794,1,Market Activity,Medium
797,1,Market Activity,Medium
796,1,Market Activity,Medium
795,1,Market Activity,Medium
798,1,Market Activity,Medium
843,1,Market Activity,Medium
837,1,Market Activity,Medium
816,1,Market Activity,Medium
819,1,Market Activity,Medium
842,1,Market Activity,Medium
818,1,Market Activity,Medium
817,1,Market Activity,Medium
836,1,Market Activity,Medium
838,1,Market Activity,Medium
835,1,Market Activity,Medium
813,1,Market Activity,Medium
815,1,Market Activity,Medium
841,1,Market Activity,Medium
812,1,Market Activity,Medium
811,1,Market Activity,Medium
814,1,Market Activity,Medium
845,1,Market Activity,Medium
844,1,Market Activity,Medium
824,1,Market Activity,Medium
823,1,Market Activity,Medium
782,1,Market Activity,Medium
785,1,Market Activity,Medium
783,1,Market Activity,Medium
786,1,Market Activity,Medium
784,1,Market Activity,Medium
787,1,Market Activity,Medium
781,1,Market Activity,Medium
825,1,Market Activity,Medium
828,1,Market Activity,Medium
826,1,Market Activity,Medium
827,1,Market Activity,Medium
745,1,Market Activity,Medium
741,1,Market Activity,Medium
743,1,Market Activity,Medium
742,1,Market Activity,Medium
744,1,Market Activity,Medium
764,1,Market Activity,Medium
763,1,Market Activity,Medium
762,1,Market Activity,Medium
772,1,Market Activity,Medium
776,1,Market Activity,Medium
771,1,Market Activity,Medium
773,1,Market Activity,Medium
774,1,Market Activity,Medium
775,1,Market Activity,Medium
748,1,Market Activity,Medium
751,1,Market Activity,Medium
747,1,Market Activity,Medium
746,1,Market Activity,Medium
